Item_Identifier	Outlet_Identifier	Item_Outlet_Sales
FDW58	OUT049	1676.288689
FDW14	OUT017	1403.10973
NCN55	OUT010	3722.079225
FDQ58	OUT017	2480.45581
FDY38	OUT027	3748.898724
FDH56	OUT046	1696.542949
FDL48	OUT018	760.7190816
FDC48	OUT027	1732.923842
FDN33	OUT045	1226.03298
FDA36	OUT017	3020.281822
FDT44	OUT017	1511.867463
FDQ56	OUT045	1063.085331
NCC54	OUT019	3200.996924
FDU11	OUT049	1561.028437
DRL59	OUT013	1228.710006
FDM24	OUT049	2149.596966
FDI57	OUT045	3026.689942
DRC12	OUT018	3089.614619
NCM42	OUT027	2124.644505
FDA46	OUT010	2555.660303
FDA31	OUT013	2775.058314
NCJ31	OUT035	3089.792377
FDG52	OUT046	524.880389
NCL19	OUT019	2296.755958
FDS10	OUT035	2806.863931
FDX22	OUT010	3575.86631
NCF19	OUT035	747.4564311
NCE06	OUT046	2194.755301
DRC27	OUT046	3620.517692
FDE21	OUT035	1872.84618
NCR42	OUT019	409.0346388
FDX51	OUT018	3292.691584
NCR06	OUT018	903.8201956
FDU31	OUT027	3897.97466
FDU59	OUT017	2273.924058
FDR03	OUT027	3771.131586
FDS49	OUT027	1448.850814
FDD48	OUT010	1955.014883
NCF18	OUT017	2717.662823
NCD43	OUT027	2079.68066
NCD54	OUT018	2362.432562
FDY19	OUT010	1898.133332
NCY54	OUT017	2066.215731
NCL19	OUT018	2453.406926
FDP23	OUT010	3527.50301
FDC26	OUT013	1721.662612
FDR14	OUT010	5.976354009
NCS41	OUT035	2778.542876
FDF41	OUT035	3452.892901
FDU34	OUT046	1675.596886
DRH11	OUT046	640.5789383
FDM03	OUT013	1646.311888
FDS31	OUT017	2826.215467
FDJ20	OUT017	1656.230957
FDV44	OUT027	3382.456897
FDG02	OUT049	2942.42542
FDA09	OUT013	3389.157579
FDT04	OUT013	644.6601887
FDL58	OUT019	3812.817061
FDE52	OUT045	1535.829134
FDW12	OUT035	2343.674407
FDL51	OUT017	3326.514753
NCY42	OUT027	2673.68119
FDR07	OUT017	1278.209823
FDN40	OUT045	2194.275672
FDB35	OUT027	1746.195126
FDA22	OUT017	2347.163093
NCL06	OUT046	3836.711919
FDI35	OUT013	3157.069401
NCW42	OUT045	3366.085488
NCX06	OUT049	2770.257095
FDC37	OUT027	2081.760191
FDZ14	OUT018	2056.204563
DRG49	OUT049	3576.820955
NCG06	OUT045	4033.65505
DRC36	OUT045	2765.415261
FDV21	OUT019	848.0180353
FDB53	OUT046	1775.568937
DRP47	OUT019	3063.118604
FDA14	OUT013	2488.750481
DRC24	OUT035	2418.056819
FDW21	OUT018	1903.037807
NCH29	OUT046	1446.144
FDU58	OUT013	3416.133631
FDY27	OUT017	2761.472117
FDV56	OUT035	1866.681233
