,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,FDW58,20.75,0,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,0,Supermarket Type1,1676.2886889849615
1,FDW14,8.3,1,0.038427677,Dairy,87.3198,OUT017,2007,,1,Supermarket Type1,1403.1097298436034
2,NCN55,14.6,0,0.099574908,Others,241.7538,OUT010,1998,,2,Grocery Store,3722.0792253980107
3,FDQ58,7.315,0,0.015388393,Snack Foods,155.034,OUT017,2007,,1,Supermarket Type1,2480.455810100204
4,FDY38,12.39452824519226,1,0.118599314,Dairy,234.23,OUT027,1985,Medium,2,Supermarket Type3,3748.898724226805
5,FDH56,9.8,1,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Small,0,Supermarket Type1,1696.542948846909
6,FDL48,19.35,1,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,2,Supermarket Type2,760.7190816019211
7,FDC48,12.860394607036962,0,0.015782495,Baking Goods,81.0592,OUT027,1985,Medium,2,Supermarket Type3,1732.9238418873283
8,FDN33,6.305,1,0.12336544599999999,Snack Foods,95.7436,OUT045,2002,,1,Supermarket Type1,1226.0329802513988
9,FDA36,5.985,0,0.005698435,Baking Goods,186.8924,OUT017,2007,,1,Supermarket Type1,3020.281821952125
10,FDT44,16.6,0,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,,1,Supermarket Type1,1511.8674628934787
11,FDQ56,6.59,0,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,,1,Supermarket Type1,1063.0853310342245
12,NCC54,12.860394607036962,0,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Small,0,Grocery Store,3200.9969244955464
13,FDU11,4.785,0,0.092737611,Breads,122.3098,OUT049,1999,Medium,0,Supermarket Type1,1561.028437324483
14,DRL59,16.75,0,0.021206463999999998,Hard Drinks,52.0298,OUT013,1987,High,2,Supermarket Type1,1228.7100062472346
15,FDM24,6.135,1,0.0794507,Baking Goods,151.6366,OUT049,1999,Medium,0,Supermarket Type1,2149.5969657589667
16,FDI57,19.85,0,0.05413521,Seafood,198.7768,OUT045,2002,,1,Supermarket Type1,3026.6899424448966
17,DRC12,17.85,0,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,2,Supermarket Type2,3089.6146189450883
18,NCM42,12.860394607036962,0,0.028184344,Household,109.6912,OUT027,1985,Medium,2,Supermarket Type3,2124.6445050519324
19,FDA46,13.6,0,0.196897637,Snack Foods,193.7136,OUT010,1998,,2,Grocery Store,2555.6603029364414
20,FDA31,7.1,0,0.109920138,Fruits and Vegetables,175.00799999999998,OUT013,1987,High,2,Supermarket Type1,2775.058314250491
21,NCJ31,19.2,0,0.182619235,Others,239.9196,OUT035,2004,Small,1,Supermarket Type1,3089.7923769872395
22,FDG52,13.65,0,0.06563084400000001,Frozen Foods,47.7402,OUT046,1997,Small,0,Supermarket Type1,524.8803889718329
23,NCL19,12.860394607036962,0,0.027447057,Others,142.347,OUT019,1985,Small,0,Grocery Store,2296.7559580791567
24,FDS10,19.2,0,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,1,Supermarket Type1,2806.8639310521794
25,FDX22,6.785,1,0.038455125,Snack Foods,209.4928,OUT010,1998,,2,Grocery Store,3575.866309639845
26,NCF19,13.0,0,0.035102094,Household,47.6034,OUT035,2004,Small,1,Supermarket Type1,747.4564310661117
27,NCE06,5.825,0,0.09148523199999999,Household,161.3894,OUT046,1997,Small,0,Supermarket Type1,2194.7553006098788
28,DRC27,13.8,0,0.058102469000000004,Dairy,244.6802,OUT046,1997,Small,0,Supermarket Type1,3620.517692038895
29,FDE21,12.8,0,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,1,Supermarket Type1,1872.8461802613747
30,NCR42,12.860394607036962,0,0.06737681,Household,32.09,OUT019,1985,Small,0,Grocery Store,409.0346387706668
31,FDX51,9.5,1,0.022148582000000003,Meat,194.9452,OUT018,2009,Medium,2,Supermarket Type2,3292.6915840372676
32,NCR06,12.5,0,0.006792706999999999,Household,42.4112,OUT018,2009,Medium,2,Supermarket Type2,903.8201955804798
33,FDU31,12.39452824519226,1,0.024870035,Fruits and Vegetables,217.7508,OUT027,1985,Medium,2,Supermarket Type3,3897.9746601849147
34,FDU59,5.78,0,0.096931426,Breads,164.2552,OUT017,2007,,1,Supermarket Type1,2273.924057500859
35,FDR03,12.39452824519226,1,0.008693632,Meat,205.09799999999998,OUT027,1985,Medium,2,Supermarket Type3,3771.131585579951
36,FDS49,12.860394607036962,0,0.078961284,Canned,80.3644,OUT027,1985,Medium,2,Supermarket Type3,1448.850814231133
37,FDD48,10.395,0,0.050479462999999995,Baking Goods,114.0176,OUT010,1998,,2,Grocery Store,1955.0148829060017
38,NCF18,18.35,0,0.08948591800000001,Household,192.1504,OUT017,2007,,1,Supermarket Type1,2717.662823474471
39,NCD43,12.860394607036962,0,0.01594238,Household,103.3964,OUT027,1985,Medium,2,Supermarket Type3,2079.680660463833
40,NCD54,21.1,0,0.029127115,Household,143.3786,OUT018,2009,Medium,2,Supermarket Type2,2362.432561988393
41,FDY19,19.75,0,0.06923642099999999,Fruits and Vegetables,116.6466,OUT010,1998,,2,Grocery Store,1898.1333323892322
42,NCY54,8.43,0,0.17869996100000002,Household,173.9422,OUT017,2007,,1,Supermarket Type1,2066.215731101147
